1; 1, 2, 5
2; 2, 3, 1
3; 1, 6, 9
4; 5, 3, 4
5; 2, 5, 7
6; 1, 3, 8
7; 4, 6, 10
8; 2, 4, 1
9; 5, 2, 12
10; 3, 6, 15
11; 8, 1, 14
12; 6, 7, 3
13; 10, 11, 2
14; 5, 13, 4
15; 1, 9, 17
16; 11, 12, 3
17; 2, 7, 14
18; 15, 1, 6
19; 4, 12, 18
20; 3, 5, 10
21; 7, 15, 2
22; 11, 1, 13
23; 9, 3, 8
24; 6, 10, 14
25; 4, 17, 5
26; 12, 7, 11
27; 3, 9, 15
28; 8, 1, 16
29; 2, 6, 19
30; 5, 10, 7
31; 1, 12, 8
32; 4, 11, 9
33; 15, 3, 6
34; 10, 5, 13
35; 2, 9, 18
36; 7, 6, 16
37; 1, 14, 3
38; 5, 11, 10
39; 9, 4, 17
40; 3, 8, 15
41; 1, 7, 10
42; 6, 2, 12
43; 13, 4, 19
44; 11, 5, 7
45; 3, 14, 16
46; 12, 8, 1
47; 4, 10, 6
48; 9, 3, 11
49; 5, 15, 2
50; 1, 6, 7
51; 14, 4, 10
52; 3, 8, 17
53; 11, 5, 9
54; 1, 12, 14
55; 2, 6, 15
56; 7, 3, 10
57; 9, 5, 13
58; 4, 8, 1
59; 11, 2, 16
60; 3, 14, 10
61; 1, 7, 15
62; 12, 6, 4
63; 8, 3, 11
64; 5, 13, 10
65; 9, 4, 1
66; 2, 11, 18
67; 7, 6, 3
68; 10, 5, 14
69; 4, 8, 1
70; 9, 3, 15
71; 2, 6, 11
72; 5, 1, 7
73; 4, 13, 10
74; 12, 3, 16
75; 9, 6, 2
76; 1, 7, 4
77; 10, 5, 3
78; 14, 1, 6
79; 2, 11, 15
80; 5, 3, 7
81; 4, 9, 12
82; 8, 10, 1
83; 3, 6, 13
84; 2, 7, 15
85; 9, 4, 11
86; 1, 5, 10
87; 8, 2, 14
88; 7, 3, 9
89; 6, 11, 15
90; 4, 1, 13
91; 3, 9, 7
92; 2, 5, 10
93; 8, 4, 1
94; 6, 7, 11
95; 5, 3, 12
96; 1, 10, 15
97; 4, 13, 6
98; 8, 5, 3
99; 2, 1, 12
100; 9, 6, 14
